,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
238," High Performance Boats, Cruisers",Power,Gas,,Fiberglass,Modified Vee,,42',"Trenton, NJ",Fountain,,Other,2007,Fountain,42 Lightning,"$149,995",2007
239, High Performance Boats,Power,Gas,,Fiberglass,,,42',"Newark, DE",Fountain,,Other,1994,Fountain,Lightning (JFR),"$95,000",1994
240, Cruisers,Sails,Diesel,,Fiberglass,Monohull,,42',"Northport, NY",Hunter,,Single Inboard,2005,Hunter,Passage 420,"$139,900",2005
241, Cruisers,Sails,Diesel,HUN4A113L203,Fiberglass,Monohull,,42',"Glen Cove, NY",Hunter,,Single Inboard,2003,Hunter,426,"$119,000",2003
242," Center Consoles, Saltwater Fishing, Sports Fishing Boats",Power,Gas,,Fiberglass,,,42',"Long Island, NY",INVINCIBLE,,Other,2017,INVINCIBLE,Open Fisherman,"$575,000",2017
243," Unspecified, Other",Power,Diesel,,Other,Other,,42',"Port Henry, NY",Maxum,,Twin Inboard,1997,Maxum,4100 SCR,"$75,000",1997
244, Motor Yachts,Power,Diesel,,Fiberglass,Deep Vee,,42',"Freeport, NY",Princess,,Twin Inboard,2012,Princess,42,"$599,000",2012
245," Center Consoles, Saltwater Fishing",Power,,,Fiberglass,,,42',"Port Washington, NY",Pursuit,,Other,2018,Pursuit,S408,Request,2018
246, Motor Yachts,Power,Other,,Fiberglass,Other,,42',"Alexandria Bay, NY",Sea Ray,,Other,2004,Sea Ray,380 Sundancer,"$119,200",2004
247, Express Cruiser,Power,Diesel,,Fiberglass,,,42',"Jersey City, NJ",Sea Ray,,Twin Inboard,2003,Sea Ray,420 Sundancer,"$174,900",2003
248," Express Cruiser, Cruisers",Power,Diesel,,Fiberglass,,,42',"Monmouth Beach, NJ",Sea Ray,,Other,1991,Sea Ray,420 Sundancer,"$74,900",1991
249," Unspecified, Other",Power,Gas,,Other,Other,,42',"North Rose, NY",Regal,,Twin Inboard,1997,Regal,402 Commodore,"$61,000",1997
250," Flybridge, Cruisers",Power,Diesel,RGMTD014I617,Fiberglass,,,42',"East Norwalk, CT",Regal,,Twin Inboard,2017,Regal,42 Fly,Request,2017
251," Motor Yachts, Express Cruiser, Cruisers",Power,Diesel,,Fiberglass,Modified Vee,99 year,42',"Freeport, NY",Regal,,Other,2016,Regal,42 Sport Coupe,Request,2016
252," Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,Deep Vee,99 year,42',"Elkton, MD",Regal,,Other,2005,Regal,Commodore 4260,"$189,000",2005
253, Express Cruiser,Power,Diesel,RGMKD276B505,Fiberglass,,,42',"North East, MD",Regal,,Other,2005,Regal,Commodore,"$189,000",2005
254, Racers and Cruisers,Sails,Diesel,,Fiberglass,,,42',"Jersey City, NJ",Sabre Yachts,,Single Inboard,1991,Sabre Yachts,425,"$148,000",1991
255, Flybridge,Power,Diesel,,Fiberglass,,,42',"Huntington, NY",Sealine,,Other,2004,Sealine,42 Fly,"$254,995",2004
256," Sports Fishing Boats, Saltwater Fishing",Power,Diesel,,Other,Other,,42',"Freeport, NY",Silverton,,Twin Inboard,2004,Silverton,42 Convertible,"$229,000",2004
257," Downeast, Saltwater Fishing, Commercial Boats",Power,Diesel,,Fiberglass,,,42',Freeport,Wesmac,,Single Inboard,2001,Wesmac,42 Downeast,"$289,000",2001
258, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,42',Bronx,Maxum,,Twin Inboard,1999,Maxum,4100 SCA,"$109,995",1999
259," Motor Yachts, Flybridge",Power,Gas,,Fiberglass,Deep Vee,,42',"Brooklyn, NY",Sea Ray,,Twin Inboard,2000,Sea Ray,400 Sedan Bridge,"$149,000",2000
260, Cruisers,Power,Gas,,Fiberglass,,,41',"Union Springs, NY",CARVER / TROJAN,,Other,2001,CARVER / TROJAN,400 Express,"$85,000",2001
261," Sports Fishing Boats, Convertible Boats",Power,Diesel,,Fiberglass,Modified Vee,,41',"Keyport, NJ",Albemarle,,Twin Inboard,2006,Albemarle,41 Convertible,"$345,000",2006
262, Cruisers,Sails,Diesel,,Fiberglass,Monohull,,41',"Norwalk, CT",Beneteau,,Single Inboard,2014,Beneteau,Oceanis 41,"$245,000",2014
263, Cruisers,Sails,Diesel,,Fiberglass,Monohull,,41',"Norwalk, CT",Beneteau,,Other,2013,Beneteau,Oceanis 41,"$219,000",2013
264," Cruisers, Daysailers",Sails,Diesel,,Fiberglass,Monohull,,41',Norwalk,Beneteau,,Other,2017,Beneteau,Oceanis 41.1,Request,2017
265," Cruisers, Motor Yachts",Power,Gas,,Fiberglass,Modified Vee,,41',"North East, MD",Carver,,Twin Inboard,2005,Carver,41 Cockpit Motor Yacht,"$134,900",2005
266," Motor Yachts, Flybridge, Aft Cabin",Power,Gas,CCHDK333M84H,Fiberglass,,,41',"1000 Islands, NY",Chris Craft,,Twin Inboard,1984,Chris Craft,410 Motor Yacht,"$59,000",1984
267," Other, Other",Power,Gas,,Other,Other,,41',"Palmerton, PA",Chris - Craft,,Twin Inboard,1974,Chris - Craft,410 Commander,"$25,900",1974
268, Aft Cabin,Power,Gas,,Fiberglass,,,41',"Alexandria Bay, NY",Chris Craft,,Twin Inboard,1984,Chris Craft,Commander,"$59,000",1984
269, Motor Yachts,Power,Diesel,,Fiberglass,Semi Displacement,,41',"Stamford, CT",Gulf Craft,,Twin Inboard,2001,Gulf Craft,Ambassador 41,"$145,000",2001
270, Express Cruiser,Power,Diesel,,Fiberglass,,,41',"Enroute To Staten Island, NY",Cruisers Yachts,,Other,2018,Cruisers Yachts,41 Cantius,Request,2018
271, Cruisers,Power,Diesel,,Fiberglass,,,41',Trenton,Formula,,Twin Inboard,2001,Formula,41 PC,"$124,995",2001
272," Express Cruiser, Cruisers",Power,Diesel,,Fiberglass,Deep Vee,5 year,41',"Stamford, CT",Formula,,Twin Inboard,2001,Formula,41 PC,"$134,000",2001
273, Cruisers,Power,Gas,,Fiberglass,,,41',"Alexandria Bay, NY",Formula,,Twin Inboard,1998,Formula,41 PC,"$77,900",1998
274," Cruisers, Express Cruiser, High Performance Boats",Power,Gas,,Fiberglass,,,41',"1000 Islands, NY",Formula,,Twin Inboard,1998,Formula,41 Performance Cruiser,"$77,900",1998
275," Unspecified, Other",Sails,Other,,Other,Other,,41',"Latham, NY",Gulfstar,,Single Inboard,1973,Gulfstar,41,"$32,800",1973
276, Sports Fishing Boats,Power,Diesel,,Fiberglass,Other,,41',"Greenwich, CT",Hatteras,,Single Inboard,1969,Hatteras,41 Convertible,"$29,500",1969
277, Aft Cabin,Power,Diesel,,Fiberglass,Other,,41',"Kingston, NY",Hatteras,,Single Inboard,1969,Hatteras,Double Cabin with Flybridge,"$65,000",1969
278, Sloop,Sails,Diesel,,Fiberglass,,,41',"Sayreville, NJ",Hunter,,Single Inboard,2002,Hunter,410,"$99,900",2002
279," Other, Other",Power,Gas,,Other,Other,,41',"Waterloo, NY",Mainship,,Twin Inboard,1989,Mainship,41 Grand Salon,"$58,500",1989
280, Motor Yachts,Power,Diesel,,Fiberglass,Deep Vee,,41',"Delran, NJ",Maxum,,Twin Inboard,1999,Maxum,4100 SCR,"$89,900",1999
281," Cruisers, Pilothouse",Sails,Diesel,,Fiberglass,,,41',"Fair Haven, NY",Morgan,,Single Inboard,1972,Morgan,Out Island 41 Sloop,"$26,500",1972
282," Aft Cabin, Motor Yachts",Power,Diesel,,Fiberglass,,,41',"Long Branch, NJ",President,,Twin Inboard,1988,President,41 Double Cabin,"$49,900",1988
283, Express Cruiser,Power,,TBD,Fiberglass,,,41',"Port Washington, NY",Pursuit,,Other,2013,Pursuit,365SC,"$350,000",2013
284," Motor Yachts, Express Cruiser",Power,Gas,,Fiberglass,Modified Vee,,41',"Queensbury, NY",Sea Ray,,Twin Inboard,2005,Sea Ray,390 Sundancer,"$155,000",2005
285, Sports Cruiser,Power,Diesel,,Fiberglass,Other,,41',"Mystic, CT",Sea Ray,,Single Inboard,2004,Sea Ray,390 Sundancer,"$164,500",2004
286, Express Cruiser,Power,Gas,,Fiberglass,Modified Vee,,41',"Freeport, NY",Sea Ray,,Twin Inboard,2006,Sea Ray,40 Sundancer,"$174,900",2006
287," Cruisers, Express Cruiser, Sports Cruiser",Power,Diesel,,Fiberglass,Deep Vee,,41',"East Rockaway, NY",Sea Ray,,Twin Inboard,2001,Sea Ray,410 Sundancer,"$129,000",2001
